iter	Logloss
0	0.6856594504
1	0.67903782
2	0.6721607511
3	0.6655341208
4	0.6579750427
5	0.6503026126
6	0.6427837872
7	0.6369258504
8	0.6302626351
9	0.6234944054
10	0.6186570438
11	0.6122968472
12	0.605944328
13	0.6004718526
14	0.5955101973
15	0.5900032834
16	0.5847175626
17	0.5802549594
18	0.5753398975
19	0.5706012738
20	0.5654748375
21	0.5615345924
22	0.5568742408
23	0.5540099346
24	0.5496255987
25	0.54618533
26	0.5423625375
27	0.5382692936
28	0.5347325871
29	0.531756615
30	0.5277326926
31	0.5238709921
32	0.5199882904
33	0.5158446535
34	0.5127894933
35	0.5102330228
36	0.5067085044
37	0.5038531975
38	0.5005353504
39	0.4969539656
40	0.494594174
41	0.4921614128
42	0.4895692818
43	0.4876318778
44	0.4844869287
45	0.481356867
46	0.4794374959
47	0.4767812744
48	0.4746769675
49	0.4725473742
50	0.4705859175
51	0.4689131316
52	0.4662838606
53	0.4637341866
54	0.4621603371
55	0.4601264298
56	0.4580465891
57	0.4561555288
58	0.4538034638
59	0.4515099699
60	0.4492720075
61	0.4471591262
62	0.4451231995
63	0.4432048071
64	0.4421673333
65	0.4399188127
66	0.4382976155
67	0.4361114691
68	0.4342214292
69	0.4318956608
70	0.430266617
71	0.4284246172
72	0.4274278877
73	0.4257045273
74	0.4240859694
75	0.4225557287
76	0.4209464792
77	0.4192858095
78	0.4180441403
79	0.416694793
80	0.4153270338
81	0.4136064353
82	0.4123617809
83	0.4113338442
84	0.410130674
85	0.4086991987
86	0.4066069726
87	0.4052451108
88	0.4038182088
89	0.4024264291
90	0.400962107
91	0.3993662489
92	0.3979726928
93	0.3959725009
94	0.3946548277
95	0.3931562187
96	0.3923032534
97	0.390419086
98	0.3895704206
99	0.3883604029
100	0.3869515775
101	0.3854336505
102	0.3843965535
103	0.3835195245
104	0.382438558
105	0.3816904979
106	0.3809697774
107	0.3795413732
108	0.3785793517
109	0.3773666381
110	0.3761711513
111	0.3747789562
112	0.374337478
113	0.3738015579
114	0.3728819931
115	0.3718751963
116	0.3712831317
117	0.3701888612
118	0.3691179345
119	0.3681277401
120	0.3668655964
121	0.3661803408
122	0.3652701973
123	0.3644208428
124	0.3637546887
125	0.3631187114
126	0.3624365729
127	0.3618786209
128	0.3611861564
129	0.3605213649
130	0.3594633486
131	0.3589102463
132	0.3583236168
133	0.3572645513
134	0.3567293516
135	0.35598694
136	0.3553209669
137	0.3544512484
138	0.3539148463
139	0.3532369499
140	0.3526715902
141	0.3516277485
142	0.351031402
143	0.3502460616
144	0.3493308497
145	0.3486208416
146	0.347562565
147	0.3469135114
148	0.3458985835
149	0.3452005546
150	0.3447594787
151	0.3441007175
152	0.343401423
153	0.3426939383
154	0.3420753279
155	0.341417463
156	0.3407020881
157	0.3399840407
158	0.3393832308
159	0.3389010465
160	0.3382551326
161	0.3372428148
162	0.3365455177
163	0.3359993942
164	0.3353602402
165	0.3347971493
166	0.3343805237
167	0.3338420245
168	0.3331676493
169	0.3327942323
170	0.3320872606
171	0.3313975883
172	0.3306135981
173	0.3299005386
174	0.3294340157
175	0.3287019076
176	0.3280013755
177	0.3276289477
178	0.3270833053
179	0.3264023421
180	0.3257998252
181	0.3252286679
182	0.324592736
183	0.3241778537
184	0.3237460572
185	0.3227456469
186	0.3221624877
187	0.3216534091
188	0.3209362314
189	0.3203975246
190	0.3200583026
191	0.3196309613
192	0.3188988195
193	0.3183289836
194	0.3177346874
195	0.3171770451
196	0.3167156754
197	0.3159071817
198	0.3152154076
199	0.3147684006
200	0.3142330416
201	0.3134428667
202	0.3131223095
203	0.3128143517
204	0.3122176061
205	0.3117117171
206	0.3114316521
207	0.3111394218
208	0.3105198999
209	0.309909245
210	0.3093770734
211	0.3090008455
212	0.3086632269
213	0.3082170338
214	0.3077347328
215	0.3072552541
216	0.3069166438
217	0.3065055813
218	0.305734068
219	0.3054045377
220	0.3049386187
221	0.3044825702
222	0.3041649164
223	0.3035495937
224	0.3034441706
225	0.3029602963
226	0.3025105232
227	0.3019684891
228	0.3014491083
229	0.3008440837
230	0.3002392178
231	0.2998313572
232	0.2995940058
233	0.2992477832
234	0.2987109943
235	0.2982974367
236	0.2978701862
237	0.2974135594
238	0.2969088026
239	0.2963641971
240	0.2959882783
241	0.2954959531
242	0.2950167459
243	0.2946302236
244	0.294179944
245	0.2937509368
246	0.293278592
247	0.2927328669
248	0.2923142923
249	0.2918108903
250	0.2914056505
251	0.2908099516
252	0.2902852593
253	0.2899309423
254	0.2895274744
255	0.2891760221
256	0.2885564646
257	0.2882547275
258	0.287835156
259	0.2874689033
260	0.28686101
261	0.2863853653
262	0.2859906732
263	0.2856031676
264	0.2852350654
265	0.2848334131
266	0.2844116782
267	0.284133943
268	0.2837412254
269	0.2833866707
270	0.2828919842
271	0.2824279112
272	0.2820568803
273	0.2816345221
274	0.2813016042
275	0.2809651527
276	0.2807627911
277	0.2805692894
278	0.28001351
279	0.2796647425
280	0.2792717552
281	0.2788219399
282	0.2784920266
283	0.2780283705
284	0.277577665
285	0.2772536648
286	0.2767763404
287	0.2761637917
288	0.275857812
289	0.2755277619
290	0.2749738531
291	0.2745755167
292	0.2740935454
293	0.2738167269
294	0.2735303092
295	0.2732759059
296	0.2728926678
297	0.2725025581
298	0.2720534521
299	0.2716580342
300	0.2713106754
301	0.2708812056
302	0.270628166
303	0.2702817423
304	0.2700739077
305	0.2697145267
306	0.2694680413
307	0.2690822117
308	0.2689375371
309	0.2687691406
310	0.2683214632
311	0.2680577281
312	0.2676539612
313	0.2674315634
314	0.2670242953
315	0.2667955635
316	0.2664471097
317	0.2658328866
318	0.2654561697
319	0.265163378
320	0.2647338577
